User,Name,Nationality,Born,Status,Years Active,Team,Alternate IDs,Approx. Total Winnings,Games,Tournament(AoE2),links,achievements,RMVoobly(AoE2)
Windy,,China,,Retired,2003 - 20042013,,,"$1,800",Age of Empires II(inactive),,,,
RAlbEr,Alberto Perandones,Spain,"September 21, 1982 (age 41)",Active,2002 - 201120172020 - Present,,"Ralber, rAlbEr_MH, ralbertv, KuuZilla, Steven","$1,184",Age of Empires II(inactive),,"['https://ralbertv.wordpress.com/', 'https://twitter.com/rAlbErTV', 'https://www.twitch.tv/ralbertv', 'https://aoezone.net/members/ralber.16358']",,
Kamigawa,Simone Canel,Italy,"April 23, 1995 (age 29)",Active,2014 - Present,Rulers of Rome,,"$2,238",Age of Empires II,1983(current)2000(highest),"['https://steamcommunity.com/profiles/76561198303883553', 'https://www.twitch.tv/kamigawa_', 'https://aoezone.net/members/kamigawa.56124']",,2122(highest)
OLADUSHEK,Юрий Геращенко,Belarus,"June 19, 1995 (age 29)",Active,2014 - Present,Sweety Boys,,"$1,908",Age of Empires II,,"['https://steamcommunity.com/profiles/76561198373681577', 'https://www.vk.com/id178645836', 'https://www.twitch.tv/oladushek__', 'https://www.youtube.com/channel/UCchhChxS5Pqm1-oNtuEF9Rw', 'https://aoezone.net/members/oladushek.65736']",,
StrayDog,,China,,Active,1999/2002 - 20082016 - Present,White Wolf Palace,"BlackMamba, CiCa_Zhou","$2,619",Age of Empires II,2031(current)2036(highest),,,2511(highest)
Yo,甘扬帆,China,"October 15, 1992 (age 31)",Active,2011 - Present,LingYuan,"TheYo, Mr_Yo","$173,390",Age of Empires IIAge of Empires IV(inactive),2390(current)2421(highest),"['https://www.douyu.com/753676', 'https://aoezone.net/members/mr_yo.28194']","['SY Nations Cup 1', 'SY Nations Cup 2', 'Clan Masters: The Final Showdown', 'Mangrove Shallows Cup', 'Red Bull Wololo', '2v2 World Cup 2020', 'The Open Classic', 'The Resurgence', 'RMS Cup 2', 'Nations Cup 2023']",2693(highest)
Sora_Kuma,許嘉鴻,Taiwan,"December 20, 1999 (age 24)",Active,2018 - Present,Taiwan Aoe Gamer,"skybear, HerG, sky_and_peace, skyandpeace","$9,546",Age of Empires IIAge of Empires IV(inactive),2178(current)2190(highest),"['https://www.instagram.com/sorakumaaoe', 'https://steamcommunity.com/profiles/76561198379366846', 'https://www.twitch.tv/sorakumaaoe', 'https://www.youtube.com/@SoraKumaAoE', 'https://aoezone.net/members/skyandpeace.77877']",,2000(highest)
FletcheR,Chris,Norway,,Retired,2002 - 2004,,,$875,Age of Empires II(inactive),,,,
Spaden,Ludvig Elinder,Sweden,"April  8, 1995 (age 29)",Active,2010 - Present,Nadya's Boys,,"$1,438",Age of Empires II,,"['https://steamcommunity.com/profiles/76561197996755177', 'https://www.twitch.tv/spadenaoc', 'https://aoezone.net/members/spaden.23856']",,
Gary,Pablo,Argentina,"January 23, 1989 (age 35)",Active,2005 - 20152020 - Present,Dreamers,Garyyyyyyy,"$1,560",Age of Empires II,,['https://www.twitch.tv/gary_arg'],,2200(highest)
Escape,,Japan,,Inactive,,,,$323,Age of Empires II(inactive),,,,1969(highest)
Capout,Hoang-Bao,FranceVietnam,,Active,,Fox,,$459,Age of Empires II,1912(current)1994(highest),"['https://discord.gg/q25v4DAa', 'https://twitter.com/CapoutFR', 'https://www.twitch.tv/capoutaoe', 'https://aoezone.net/members/capout.100315']",,
Halen,Akihiro Nakamura,Japan,1984 (age 39-40),Retired,2001 - 20072011,,"oN_Silva, Ray","$38,211",Age of Empires II(inactive)Age of Mythology(inactive),,,"['Arbalet Cup #2', 'World Cyber Games 2002', 'ESO LIVE !! Club MS Cup AOM Asian Championship', 'World Clan League', 'World Clan League 2', 'World Clan League 4', 'World Clan League 7']",
Lyx,,China,1986 (age 37-38),Active,2010 - Present,LingYuan,"翠湖, cuihu, _EMA_003","$31,190",Age of Empires IIAge of Empires IV(inactive),2137(current)2145(highest),['https://www.douyu.com/1029928'],"['Clan Masters: The Final Showdown', '2v2 World Cup 2020', 'Nations Cup 2023']",2458(highest)
Latko,József Lengyel,Hungary,1986 (age 37-38),Retired,2005 - 2013,,"Mao, welcome_back, Latex",$88,Age of Empires II(inactive),,,,2113(highest)
Uno1,Javier Fulleringer,Argentina,,Active,,Team Maswi,"Fuller, uno1",$243,Age of Empires II,1955(current)1998(highest),"['https://steamcommunity.com/profiles/76561199044067231', 'https://aoezone.net/members/uno1.101851']",,
Uzzi,Uzziel Maruri,Mexico,"March 24, 1997 (age 27)",Active,2015 - Present,Combi eSports,"7Swords, DiVinE_KiLLeR, Kyabe, Peluzzi","$2,133",Age of Empires II,,"['https://facebook.com/IaMUzi', 'https://steamcommunity.com/profiles/76561198217460091', 'https://www.twitch.tv/uzzi_aoe', 'https://www.youtube.com/channel/UCvzCDwMm2unSNpW-PGnmTZA', 'https://aoezone.net/members/uzzi_.12433']",,2202(highest)
Mihai06,Apopei Sebastian Mihăiță,Romania,"June  6, 2003 (age 21)",Active,2020 - Present,Fox,KingSlayer,"$8,384",Age of Empires II,2248(current)2256(highest),"['https://discord.gg/N8yuEB3sCj', 'https://steamcommunity.com/profiles/76561198282860959', 'https://www.twitch.tv/Mihai06_AoE', 'https://www.youtube.com/@Mihai06-AoE', 'https://aoezone.net/members/mihai06.97272']",,
WraTh_(Irish_player),,Ireland,"October  6, 1984 (age 39)",Retired,2003 - 2006,,,"$1,900",Age of Empires II(inactive)Age of Mythology(inactive),,,['World Clan League 4'],
Yezris,,Czechia,,Inactive,2009-20152020-2021,,,$212,Age of Empires II(inactive),1991(current)1991(highest),"['https://steamcommunity.com/profiles/76561198001853909', 'https://aoezone.net/members/yezris.10377']",,
