User,Name,Nationality,Born,Status,Years Active,Team,Alternate IDs,Approx. Total Winnings,Games,Tournament(AoE2),links,achievements,RMVoobly(AoE2)
Kongensgade,Mathias,Denmark,,Active,,,"KongeQrnen, Kongen_42, Kongensgade_42, Kong, L1k3_A_B0SS, 2kSurfer, rainKong, PsykoseKongen42",$973,Age of Empires II,1954(current)2012(highest),"['https://steamcommunity.com/profiles/76561198099976904', 'https://www.twitch.tv/kongen_42', 'https://www.kick.com/kongen-42', 'https://aoezone.net/members/kongen_42.101545']",,2210(highest)
Spaden,Ludvig Elinder,Sweden,"April  8, 1995 (age 29)",Active,2010 - Present,Nadya's Boys,,"$1,438",Age of Empires II,,"['https://steamcommunity.com/profiles/76561197996755177', 'https://www.twitch.tv/spadenaoc', 'https://aoezone.net/members/spaden.23856']",,
Faraday,Elias do Carmo Dias,Brazil,,Active,2018 - Present,The BrotherHood Kappa,,$121,Age of Empires IIAge of Empires IV(inactive)Age of Mythology(inactive),,"['https://steamcommunity.com/profiles/76561198396796451', 'https://www.twitch.tv/faradayaoe', 'https://aoezone.net/members/faraday.76559']",,1991(highest)
Dante_(American_player),,United States,,Retired,,,,"$2,550",Age of Empires II(inactive),,,,
BadBoy,Bui Anh Tu,Vietnam,"July 19, 1991 (age 32)",Active,2009 - Present,Vietnam Legends,BadB0y,"$6,856",Age of Empires II,,"['https://steamcommunity.com/profiles/76561199041237622', 'https://www.twitch.tv/badboyaoe', 'https://aoezone.net/members/vns_badboy91.97708']",,2326(highest)
TokiwaMiao,,Japan,"November 11, 1989 (age 34)",Inactive,2002 - 2022,,"WalkureRomanze, pietan",$263,Age of Empires II(inactive),,['https://aoezone.net/members/tokiwa_miao.20242/'],,2095(highest)
BruH,Bruno,Brazil,"January 21, 1991 (age 33)",Active,2006 - Present,QuEnDi,"BruH, __BruHStyLe, bruhtal_, brunoomatador, AssassinOstrich","$8,580",Age of Empires IIAge of Empires IV(inactive),2098(current)2177(highest),"['https://discord.gg/pb23qyp', 'https://steamcommunity.com/profiles/76561199035860327', 'https://www.twitch.tv/bruh_aoe', 'https://www.youtube.com/channel/UC0ohO1gLZWjX1DUG6oTSGZw', 'https://aoezone.net/members/brunin.10012']",,2356(highest)
TheMax,Eerik Ukkola,Finland,,Active,2014 - Present,Suomi,,"$28,866",Age of Empires IIAge of Mythology(inactive),2158(current)2187(highest),"['https://steamcommunity.com/profiles/76561198426853065', 'https://aoezone.net/members/themax.32412']",,2599(highest)
Skull,,Czechia,,Active,,,Sval,$672,Age of Empires II(inactive),2048(current)2048(highest),,,
IORI,,China,,Active,2004 - 200820172020 - Present,,"KISS, The_Koven_fan, CMF-A-精鹰","$3,232",Age of Empires II(inactive),,,['World Clan League 4'],
OLADUSHEK,Юрий Геращенко,Belarus,"June 19, 1995 (age 29)",Active,2014 - Present,Sweety Boys,,"$1,908",Age of Empires II,1918(current)1999(highest),"['https://steamcommunity.com/profiles/76561198373681577', 'https://www.vk.com/id178645836', 'https://www.twitch.tv/oladushek__', 'https://www.youtube.com/channel/UCchhChxS5Pqm1-oNtuEF9Rw', 'https://aoezone.net/members/oladushek.65736']",,
F1Re,Helenês Romano Cândido,Brazil,"April  2, 1988 (age 36)",Active,2009 - Present,Killing Generation of Brazil,"TiMe_4_F1Re, TWiK_AppleFan, Mr.F1Re","$24,304",Age of Empires II,2160(current)2184(highest),"['https://www.instagram.com/helenesromano', 'https://steamcommunity.com/id/helenescandido', 'https://twitter.com/f1reaoe', 'https://www.twitch.tv/f1reaoe', 'https://www.youtube.com/channel/UCe5PZxogLEsu5VacKmOiR5g', 'https://aoezone.net/members/f1re__.5930']",,2551(highest)
Chun_Yu,Chun Yu Shing,Hong Kong,"October 22, 1986 (age 37)",Retired,2001 - 2007,,Yanzi,"$11,884",Age of Empires II(inactive)Age of Empires III(inactive)Age of Mythology(inactive),,,"['Masters of AoC: 1v1', 'World Clan League', 'World Clan League 4']",
Ming_(Hong_Kongese_player),,Hong Kong,,Active,2017 - Present,,"_WWP_MING, shiver, jaxis_ksee, FFLEONG, fatfatleong","$1,038",Age of Empires II,,['https://steamcommunity.com/profiles/76561198376755697'],,2301(highest)
M4Te,Ezequiel Delia,Argentina,"October 26, 1989 (age 34)",Active,2005 - 20112013 - 20192021 - Present,Gaucho,"Mess10, MarcoVinx",$185,Age of Empires II,1955(current)2008(highest),"['https://www.twitch.tv/M4Te_', 'https://aoezone.net/members/m4te_.14682']",,
