User,Name,Nationality,Born,Status,Years Active,Team,Alternate IDs,Approx. Total Winnings,Games,Tournament(AoE2),links,achievements,RMVoobly(AoE2)
Modri,,Slovenia,,Active,2013 - Present,The Amigos,,"$8,014",Age of Empires II,,"['https://discord.gg/kYf2AWTz5u', 'https://steamcommunity.com/profiles/76561198011417995', 'https://www.twitch.tv/modri_', 'https://aoezone.net/members/modri.44528']",,2318(highest)
RediRodion,,Poland,,Active,,,,$164,Age of Empires II(inactive),1947(current)1992(highest),"['https://steamcommunity.com/id/redirodion', 'https://twitter.com/RediRodion', 'https://www.twitch.tv/redirodion', 'https://www.youtube.com/channel/UC48BWPsl4g3hSSm2OxxmxXg', 'https://aoezone.net/members/redirodion.79037']",,
Scotty,,United States,,Active,,,,,Age of Empires II,1975(current)1987(highest),"['https://steamcommunity.com/profiles/76561198352045396', 'https://aoezone.net/members/scotty__.66979']",,
Slam,Christopher Gregson,Canada,"November 21, 1988 (age 35)",Active,2009 - Present,,"ZhaoLee, HasanForgiveMe, MalevolentRealm, Snowman1988, _Surya_","$36,018",Age of Empires IIAge of Empires IV(inactive),2164(current)2193(highest),"['https://discord.gg/H7WJQaj', 'https://www.instagram.com/slamaoc', 'https://twitter.com/slamAOE', 'https://www.twitch.tv/slamjam_', 'https://www.youtube.com/channel/UC15K06FB4EO98AMBYqraQ3w', 'https://aoezone.net/members/slam.12412']","['Clan Masters: Invitational', 'Escape Champions League LAN Finals']",2576(highest)
Dziamdziak,Krzysztof Kołodziej,Poland,"May 30, 1986 (age 38)",Active,2000-200820112014-20162020 - Present,PL,"Dziam, _I_lost_my_mind","$2,831",Age of Empires IIAge of Empires IV(inactive),1918(current)2018(highest),"['https://steamcommunity.com/profiles/76561198009215213', 'https://www.twitch.tv/dziamdziak', 'https://aoezone.net/members/pl_dziamdziak.11647']",,
El_Matador,,Germany,"January 12, 1995 (age 29)",Active,,,,$975,Age of Empires I(inactive)Age of Empires IIAge of Mythology,2102(current)2114(highest),"['https://steamcommunity.com/profiles/76561198068729026', 'https://www.twitch.tv/el_matador_5', 'https://aoezone.net/members/el_matador_5.104587']",,
Somero,,Czechia,,Active,2013 - Present,The Amigos,CZ_Somero,"$1,990",Age of Empires II,2000(current)2014(highest),"['https://www.twitch.tv/cz_somero', 'https://aoezone.net/members/cz_somero.91365']",,
Dr.Kozmonot,Civan,Turkey,"May 29, 2000 (age 24)",Active,2020 - Present,,,"$1,590",Age of Empires II,2040(current)2058(highest),"['https://discord.gg/e5zUQ56b2M', 'https://steamcommunity.com/profiles/76561199091668803', 'https://www.twitch.tv/drkozmonot', 'https://www.youtube.com/channel/UCADnocq-SCC28Xr5Tq-sF5Q', 'https://aoezone.net/members/dr-kozmonot.92707']",,
Paladin_(player),陈秀锦,China,,Active,2009 - Present,White Wolf Palace,"vg_paladin, paladin_One, FengXin","$12,047",Age of Empires II(inactive),,['https://www.douyu.com/294359'],"['SY Nations Cup 1', 'SY Nations Cup 2', 'Clan Masters: The Final Showdown']",2343(highest)
RAYAN,Рауан Жангабатыр,Kazakhstan,"November 14, 1981 (age 42)",Retired,1999 - 2003,,"MalevolentFury, RaYaN, RAYAN","$2,450",Age of Empires II(inactive)Age of Empires III(inactive),,,,
Komtan,Masatoshi Kawai,Japan,1991 (age 32-33),Active,2009 - Present,,"Nocturne, NocturneZ","$1,005",Age of Empires IIAge of Empires IV(inactive),,"['https://steamcommunity.com/id/komruke', 'https://twitter.com/komruke', 'https://www.twitch.tv/komtano_o', 'https://aoezone.net/members/komtan.16370']",,2170(highest)
Zyatou,Satoshi Ito,Japan,,Retired,2001,,,"$2,002",Age of Empires II(inactive)Age of Mythology(inactive),,,,
