User,Name,Nationality,Born,Status,Years Active,Team,Alternate IDs,Approx. Total Winnings,Games,Tournament(AoE2),links,achievements,RMVoobly(AoE2)
Shades,Samuel Di Cristofano,Italy,"March 14, 2001 (age 23)",Active,2019 - Present,Rulers of Rome,,$292,Age of Empires I(inactive)Age of Empires IIAge of Empires IV(inactive),,"['https://discord.gg/vZHzdV', 'https://facebook.com/people/Shades-Aoe/100074121283668/', 'https://www.instagram.com/dicrisamuel', 'https://twitter.com/Shadesaoe', 'https://www.twitch.tv/shadesaoe', 'https://www.youtube.com/channel/UCE5W05JUi_TIhykdXTa1TWQ', 'https://aoezone.net/members/zshades.76258']",,2016(highest)
FeAge,Armando Felipe Rasotto,Brazil,"January 17, 1991 (age 33)",Active,2002 - Present,,_Brahma_,"$6,337",Age of Empires IIAge of Empires III(inactive)Age of Empires IV,,"['https://steamcommunity.com/profiles/76561197982879082', 'https://twitter.com/FeAgeAoE', 'https://www.twitch.tv/FeAge_', 'https://www.youtube.com/channel/UCYhsraJ7ht7qYpZuHht-ibA', 'https://aoezone.net/members/feage.1287']",['SY Nations Cup 3'],2321(highest)
Skull,,Czechia,,Active,,,Sval,$672,Age of Empires II(inactive),2048(current)2048(highest),,,
BadBoy,Bui Anh Tu,Vietnam,"July 19, 1991 (age 32)",Active,2009 - Present,Vietnam Legends,BadB0y,"$6,856",Age of Empires II,2090(current)2177(highest),"['https://steamcommunity.com/profiles/76561199041237622', 'https://www.twitch.tv/badboyaoe', 'https://aoezone.net/members/vns_badboy91.97708']",,2326(highest)
Slam,Christopher Gregson,Canada,"November 21, 1988 (age 35)",Active,2009 - Present,,"ZhaoLee, HasanForgiveMe, MalevolentRealm, Snowman1988, _Surya_","$36,018",Age of Empires IIAge of Empires IV(inactive),2164(current)2193(highest),"['https://discord.gg/H7WJQaj', 'https://www.instagram.com/slamaoc', 'https://twitter.com/slamAOE', 'https://www.twitch.tv/slamjam_', 'https://www.youtube.com/channel/UC15K06FB4EO98AMBYqraQ3w', 'https://aoezone.net/members/slam.12412']","['Clan Masters: Invitational', 'Escape Champions League LAN Finals']",2576(highest)
Komtan,Masatoshi Kawai,Japan,1991 (age 32-33),Active,2009 - Present,,"Nocturne, NocturneZ","$1,005",Age of Empires IIAge of Empires IV(inactive),1995(current)2005(highest),"['https://steamcommunity.com/id/komruke', 'https://twitter.com/komruke', 'https://www.twitch.tv/komtano_o', 'https://aoezone.net/members/komtan.16370']",,2170(highest)
Chun_Yu,Chun Yu Shing,Hong Kong,"October 22, 1986 (age 37)",Retired,2001 - 2007,,Yanzi,"$11,884",Age of Empires II(inactive)Age of Empires III(inactive)Age of Mythology(inactive),,,"['Masters of AoC: 1v1', 'World Clan League', 'World Clan League 4']",
ElMago,Pablo Iglesias,Argentina,"October 29, 1991 (age 32)",Active,2008 -Present,Dreamers,"Pab10, Mago_zZ",$603,Age of Empires II,,['https://www.instagram.com/ElMagoIsBacK'],,
Socksyy,Alex,Australia,"April  1, 1997 (age 27)",Active,2013 - Present,,,$780,Age of Empires II,,"['https://steamcommunity.com/profiles/76561198138884370', 'https://www.twitch.tv/socksyy', 'https://aoezone.net/members/socksyy.47033']",,
KingstoNe,Mario Bazán,Mexico,,Active,2009-20142020 - Present,Combi eSports,"BaZan, KingstoN, KingstoN_USb, USb","$11,076",Age of Empires II,2170(current)2181(highest),"['https://steamcommunity.com/profiles/76561199063069362', 'https://www.twitch.tv/KingstoNe_AoE', 'https://aoezone.net/members/kingston_usb.108795']",,1906(highest)
Emalius2,,Finland,,Active,,,emalius,$381,Age of Empires II,1941(current)1992(highest),['https://aoezone.net/members/emalius2.44615'],,
The_Dragonstar,Ashwin Kumar,India,"October 22, 1999 (age 24)",Active,2017 - Present,BLACKSAILS,Dragonstar,"$8,345",Age of Empires IIAge of Empires IV(inactive),2132(current)2198(highest),"['https://steamcommunity.com/profiles/76561198131139989', 'https://twitter.com/The_Dragonstar', 'https://www.twitch.tv/dragonstar_aoe', 'https://www.youtube.com/100dragonstar', 'https://www.kick.com/dragonstar-aoe', 'https://aoezone.net/members/100dragonstar.51551']",,2221(highest)
